query;date;url;sentiment;type;discussion length;views;author;followers;influence;GPS latitude;GPS longitude;message text;source;title
icdrachten OR nijsmellinghe OR r...;2020-05-11 12:10;https://twitter.com/annekelips/status/1259788037422276609;;post;;115;annekelips;115;2;;;Samen met @UnicaNL verbouwt @VanWijnenGroep de komende jaren het ziekenhuisgebouw van [@NijSmellinghe] in [Drachten]. Ook na aanvang van de corona-uitbraak gingen de bouwwerkzaamheden door. Meer weten? https://t.co/vk1JBXZZxC #doorbouwers;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 12:07;https://twitter.com/roelofS10S/status/1259787319504142337;;post;3;451;roelofS10S;451;0.6;;;Samen met @UnicaNL verbouwt @VanWijnenGroep de komende jaren het ziekenhuisgebouw van [@NijSmellinghe] in [Drachten]. Ook na aanvang van de corona-uitbraak gingen de bouwwerkzaamheden door. Meer weten? https://t.co/5SzSun7ycw #doorbouwers;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 11:40;https://twitter.com/whcorn/status/1259780341734268928;+;comment;16;;whcorn;1169;1.9;;;@radiotelescoop @WerkgroepMeteor [@ASTRON_NL] Prachtig plaatje. 👍;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 11:39;https://twitter.com/whcorn/status/1259780262088577025;+;comment;16;1169;whcorn;1169;1.9;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 11:21;https://twitter.com/pd0oyf/status/1259775659867504641;;post;;160;pd0oyf;160;1;;;Met elkaar en voor elkaar. [@_Smallingerland] @DVCvlag @platformMevM @LiudgerSpl https://t.co/mJU7edMONZ;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 11:09;https://twitter.com/VanWijnenGroep/status/1259772507084787713;;post;3;21625;VanWijnenGroep;21625;6.4;;;Het Drachtster ziekenhuis [@nijsmellinghe] verbouwt de komende jaren haar ziekenhuisgebouw in samenwerking met @UnicaNL en Van Wijnen. De bouwwerkzaamheden gingen de afgelopen maanden door, ook na aanvang van de corona-uitbraak https://t.co/crwwV34AZo;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 10:32;https://twitter.com/HarryKeizer/status/1259763373480312832;+;comment;16;327;HarryKeizer;327;1.4;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 09:01;https://twitter.com/djidee/status/1259740435792224258;+;comment;16;1150;djidee;1150;4.5;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 08:48;https://twitter.com/UnicaNL/status/1259737078209875968;;post;;3948;UnicaNL;3948;2;;;[@nijsmellinghe] verbouwt de komende jaren haar ziekenhuisgebouw in samenwerking met @VanWijnenGroep  en Unica. De bouwwerkzaamheden gingen de afgelopen maanden door, ook na aanvang van de corona-uitbraak. https://t.co/VO7LvPgikn https://t.co/0FaQC3R7It;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-11 08:06;https://twitter.com/HansPrein/status/1259726674259828737;+;comment;16;948;HansPrein;948;0.7;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
