"","Id","views","influence","followers"
"871","ggdfryslan",1777,10.9,1777
"872","gholtrop",397,1.5,397
"873","giddgvb",234,0.7,234
"874","gielhanraets",380,0.9,380
"875","gigagugo",96,0.7,96
"876","gijsbertsbert",2988.5,3.45,2988.5
"877","gijslevelt",496,1.3,496
"878","gijsmeijer1985",258.384615384615,0.792307692307692,258.384615384615
"879","gijsnelemans",615,0.7,615
"880","gijsnillessen",1068,0.7,1068
"881","gildeopleidinge",1566,1.2,1566
"882","ginazoo",1110.38461538462,1.07692307692308,1110.38461538462
"883","giopagliari",2929,0.6,2929
"884","giovlama",229,0.8,229
"885","gisella_me",278.75,2.225,278.75
"886","gjaltdejong",755.666666666667,2.2,755.666666666667
"887","gjdeboer",237.5,0.75,237.5
"888","glheerenveen",232,0.7,232
"889","glmiddendrenthe",516,2,516
"890","globermeshack",99.9036144578313,0.693975903614458,99.9036144578313
"891","glunenborg",38,0.8,38
"892","gm0urd",498,0.8,498
"893","goatrebel",308,5.4,308
"894","gomaruscollege",753,0.7,753
"895","gomarusdrachten",346.616666666667,2.175,346.616666666667
"896","gonnyvink",469,1.3,469
"897","govertschilling",21444,75.4941176470588,21444
"898","gquerci",2306,1.23333333333333,2306
"899","gr_monument",341,2.4,341
"900","grandioosgroni1",174,3.6,174
"901","granthampson",52.6382978723404,2.33191489361702,52.6382978723404
"902","grappainstitute",1182,0.7,1182
"903","gravinpetra",665,3,665
"904","grb090423",2778,0.7,2778
"905","grdeal_scholen",818,1.5,818
"906","greeneggsbacon",168,0.4,168
"907","greennomad73",1439,2.9,1439
"908","grefl75",315,6.9,315
"909","greg_white_oz",211,0.8,211
"910","gremin_wijma",45,0.65,45
"911","grewfarmpete",1049,0.7,1049
"912","grietjebuma",64,0.6,64
"913","grietjek1",57.9090909090909,0.609090909090909,57.9090909090909
"914","groenadvies",45,1.2,45
"915","groengascentrum",862,0.7,862
"916","groenleven",1070,2.1,1070
"917","groningenatwork",749.5,1.57692307692308,749.5
"918","groningerhavens",3235,7.5,3235
"919","grunnenrocks",5840.51851851852,4.84814814814815,5840.51851851852
"920","grutto23",84,0.6,84
"921","grytdopie",30,0.8,30
"922","grythdb",34,0.8,34
"923","grytk",137.012658227848,1.08481012658228,137.012658227848
"924","gunnarvdhoofd",277,0.8,277
"925","gverheuvel",854,2.2,854
"926","gwarrink",819,2.1,819
"927","gweaneth",127,1.2,127
"928","gwenzuring",102,0.7,102
"929","gys22s",116.079365079365,0.868253968253968,116.079365079365
"930","h2centrum",1078,0.8,1078
"931","haans57",136,0.9,136
"932","hafo2014",77.6666666666667,0.7,77.6666666666667
"933","haitelmarijke",15,0.7,15
"934","haka78",156,0.8,156
"935","hambobs",523.206896551724,3.11034482758621,523.206896551724
"936","hanendick",448,0.7,448
"937","hanjehee",258,0.6,258
"938","hannadekoning",583,1.7,583
"939","hannah_stacey",87,0.5,87
"940","hannekebrug",769,1,769
"941","hannekestegeman",272,0.9,272
"942","hannevanderwaa",681.75,0.9,681.75
"943","hannievlug",400,6.5,400
"944","hans__zelf",152,2.6,152
"945","hans_besemans",127,3.2,127
"946","hansbios",1099,2.7,1099
"947","hansbufvel",30,0.7,30
"948","hansdenoord",51.6666666666667,1.03333333333333,51.6666666666667
"949","hansdewolf1",710,0.5,710
"950","hanshupkes",611,2.8,611
"951","hanspraat",739,3.6,739
"952","hansprein",931.25,0.7375,931.25
"953","hanze",12673,8.9,12673
"954","hanzecdc",57,0.7,57
"955","hanzomer",330.25,0.825,330.25
"956","haphmeer",1373,4.6,1373
"957","haprins",275,2.2,275
"958","harmavdroest",2288,3.4,2288
"959","harmenbyl",541,2.1,541
"960","harmstuiver1",18,0.8,18
"961","harmvanbeurden",547,0.9,547
"962","harolddehaan",1062,3.2,1062
"963","harrietjager",933,2.8,933
"964","harry59degroot",212,4.15,212
"965","harrykeizer",320.066666666667,1.22666666666667,320.066666666667
"966","harrysfarm",4686,6.5,4686
"967","hartenvaat",560,1.9,560
"968","hazewind0183",178,0.8,178
"969","hazhale",263,0.9625,263
"970","hbburggraaff",168,1.5,168
